ID,ADRESS,LAT,LON
1,דקר 4,29.5555,34.9349
2,דקר 4,29.5555,34.9349
3,דקר 12,29.5559,34.9324
4,דקר 14,29.5567,34.9317
5,זהרון 1,29.5566,34.9360
6,זהרונית 2,29.5565,34.9313
7,דקר 14,29.5567,34.9317
8,דקר 37,29.5561,34.9315
9,זהרון 35,29.5576,34.9319
10,ביטרן 8,,
11,סולית 7,29.5551,34.9341
12,דקר 2,29.5559,34.9360
13,פטישון 12,29.5577,34.9341
14,דקר 2,29.5559,34.9360
15,צנינית 1,29.5583,34.9321
16,זהרון 13,29.5569,34.9330
17,זיתן 5,29.5577,34.9358
18,מולית 19,29.5568,34.9380
19,שריר 3,,
20,טווסון 9,29.5549,34.9380
21,זהרון 13,29.5569,34.9330
22,זהורית 2,29.5565,34.9313
23,חלילן 1,29.5552,34.9348
24,זהרון 3 דירה 27,29.5566,34.9353
25,פרפרון 8,29.5560,34.9370
26,פרפרון 16,29.5560,34.9377
27,חניתן,,
30,משעול אבובן 10,29.5551,34.9330
31,זהרון 3,29.5566,34.9353
32,כיכר צנינית 3,29.5584,34.9323
33,דקר 14,29.5567,34.9317
34,כיכר צננית 3,29.5584,34.9323
35,כיכר צננית 1,29.5583,34.9321
36,כיכר זהורית 2,29.5565,34.9313
37,דקר 14,29.5567,34.9317
38,דקר 14,29.5567,34.9317
39,דקר 14,29.5567,34.9317
40,דקר 14,29.5567,34.9317
41,דקר 14,29.5567,34.9317
42,חניתן 12,29.5548,34.9366
43,צנינית 3,29.5584,34.9323
44,כיכר זהורית 2,29.5565,34.9313
45,צננית 3,29.5584,34.9323
46,צנינית 1,29.5583,34.9321
47,זהרון 3,29.5566,34.9353
48,צננית 3,29.5584,34.9323
49,שרביטן 9,29.5553,34.9383
51,אבזיז 14-לא קיים רחוב כזה,,
52,צנינית 1,29.5583,34.9321
53,צנינית 1,29.5583,34.9321
54,כיכר צנינית 1,29.5583,34.9321
55,זהרון 1,29.5566,34.9360
56,כיכר צנינית 3,29.5584,34.9323
58,כיכר צנינית 1,29.5583,34.9321
59,כיכר צנינית 1,29.5583,34.9321
60,כיכר צננית 1,29.5583,34.9321
61,שפריר 16 ,29.5580,34.9365
62,דקר 37,29.5561,34.9316
64,זהרון 7,29.5571,34.9342
65,זהרון 1,29.5566,34.9360
66,דקר 14,29.5567,34.9317
67,דקר 4,29.5555,34.9349
68,דקר 14,29.5567,34.9317
69,דקר 2,29.5559,34.9360
70,דקר 4,29.5555,34.9349
71,דקר 12,29.5559,34.9324
72,דקר 12,29.5559,34.9324
73,דקר 4 ,29.5555,34.9349
74,דקר 2,29.5559,34.9360
75,דקר 12,29.5559,34.9324
76,דקר 12,29.5559,34.9324
77,דקר 14,29.5567,34.9317
78,דקר 37,29.5561,34.9315
79,דקר 2,29.5559,34.9360
80,דקר 12,29.5559,34.9324
81,דקר 12,29.5559,34.9324
82,דקר 2,29.5559,34.9360
83,זהורית 2,29.5565,34.9313
84,להבית 12,29.5580,34.9377
85,צבעון 8,29.5546,34.9371
86,זהורית 4,29.5561,34.9309
87,זהורית 4,29.5561,34.9309
88,זהורית 4,29.5561,34.9309
89,זהורית 4,29.5561,34.9309
90,זהרון 3,29.5566,34.9353
91,זהרון 1,29.5566,34.9360
28,פרפרון 17,29.5562,34.9379
29,פטישון 6,29.5576,34.9340
50,דקר 14,29.5567,34.9317
57,שפריר 9,29.5577,34.9363
63,זהרון 1,29.5566,34.9360
92,להבית 12,29.5580,34.9377
93,צבעון 8,29.5546,34.9371
94,זהורית 4,29.5561,34.9309
95,זהרון 1,29.5566,34.9360
96,זהרון 3,29.5566,34.9353
97,זהורית 4,29.5561,34.9309
98,זהורית 4,29.5561,34.9309
99,זהורית 4,29.5561,34.9309
