ID,AM_FIRST_PAY,START?_FIRST?_PAY,END?_FIRST_PAY,AM_SEC_PAY,START?_SEC_PAY,END_SEC_PAY,AM_THIRD_PAY,START_THIRD_PAY,END_THIRD_PAY
1,1146,2016-09-01,2016-10-30,723,2016-07-01,2016-08-30,688,2016-05-01,2016-06-30
2,,,,,,,,,
3,264,2016-11-01,2016-12-30,428,2016-07-01,2016-08-30,,,
4,432,2016-11-01,2016-12-30,432,2016-09-01,2016-10-30,,,
5,,,,,,,,,
6,185,2016-11-01,2016-12-30,,,,,,
7,,,,,,,,,
8,,,,,,,,,
9,,,,,,,,,
10,619,2016-11-01,2016-12-30,1521,2016-09-01,2016-10-30,1509,2016-07-01,2016-08-30
11,,,,,,,,,
12,,,,,,,,,
13,800,2016-07-01,2016-08-30,400,2016-11-01,2016-12-30,,,
14,,,,,,,,,
15,,,,,,,,,
16,437,2016-11-01,2016-12-30,,,,,,
17,480,2016-11-01,2016-12-30,,,,,,
18,612,2016-11-01,2016-12-30,,,,,,
19,404,2016-11-01,2016-12-30,,,,,,
20,2735,2016-09-01,2016-10-30,,,,,,
21,911,2016-11-01,2016-12-30,,,,,,
22,,,,,,,,,
23,468,2016-11-01,2016-12-30,1607,2016-09-01,2016-10-30,1927,2016-07-01,2016-08-30
24,498,2016-05-01,2016-06-30,,,,,,
25,800,2016-11-01,2016-12-30,,,,,,
26,900,2016-11-01,2016-12-30,,,,,,
27,862,2016-11-01,2016-12-30,,,,,,
30,1810,2016-05-01,2016-06-30,,,,,,
31,322,,,,,,,,
32,984,2017-01-01,2017-02-30,,,,,,
33,212,2017-01-01,2017-02-30,,,,,,
34,646,2017-01-01,2017-02-30,,,,,,
35,313,2017-01-01,2017-02-30,326,2016-11-01,2016-12-30,,,
36,640,2017-01-01,2017-02-30,406,2016-11-01,2016-12-30,,,
37,,,,,,,,,
38,,,,,,,,,
39,,,,,,,,,
40,480,2017-01-01,2017-02-30,,,,,,
41,576,2017-01-01,2017-02-30,,,,,,
42,1260,2017-01-01,2017-02-30,881,2016-11-01,2016-12-30,,,
43,490,2017-01-01,2017-02-30,463,2016-11-01,2016-12-30,,,
44,457,2016-11-01,2016-12-30,,,,,,
45,865,2017-01-01,2017-02-30,,,,,,
46,419,2016-11-01,2016-12-30,923,2016-09-01,2016-10-30,950,2016-07-01,2016-08-30
47,800,2016-11-01,2016-12-30,1182,2016-09-01,2016-10-30,933,2016-07-01,2016-08-30
48,421,,,,,,,,
49,800,2016-11-01,2016-12-30,,,,,,
51,,,,,,,,,
52,464,2016-11-01,2016-12-30,820,2016-09-01,2016-10-30,,,
53,173,2016-11-01,2016-12-30,365,2016-09-01,2016-10-30,,,
54,,,,,,,,,
55,350,2016-11-01,2016-12-30,450,2016-09-01,2016-10-30,,,
56,,,,,,,,,
58,378,2016-11-01,2016-12-30,1072,2016-09-01,2016-10-30,1341,2016-07-01,2016-08-01
59,657,2016-05-01,2016-06-30,,,,,,
60,469,2016-11-01,2016-12-30,701,2016-09-01,2016-10-30,,,
61,,,,,,,,,
62,1200,2017-01-01,2017-02-30,,,,,,
64,430,2017-01-01,2017-02-30,,,,,,
65,380,2017-01-01,2017-02-30,,,,,,
66,660,2017-01-01,2017-02-30,,,,,,
67,262,2017-01-01,2017-02-30,,,,,,
68,,,,,,,,,
69,,,,,,,,,
70,,,,,,,,,
71,813,2017-01-01,2017-02-30,,,,,,
72,776,2017-01-01,2017-02-30,,,,,,
73,411,2016-11-01,2016-12-30,1044,2016-09-01,2016-10-30,,,
74,1054,2017-01-01,2017-02-30,,,,,,
75,935,2017-01-01,2017-02-30,,,,,,
76,500,2017-01-01,2017-02-30,459,2016-11-01,2016-12-30,,,
77,197,2016-11-01,2016-12-30,279,,,,,
78,216,2017-01-01,2017-02-30,,,,,,
79,298,2017-01-01,2017-02-30,,,,,,
80,606,2016-11-01,2016-12-30,,,,,,
81,513,2017-01-01,2017-02-30,762,2016-09-01,2016-10-30,,,
82,232,2017-01-01,2017-02-30,,,,,,
83,566,2017-01-01,2017-02-30,,,,,,
84,,,,,,,,,
85,1338,2017-01-01,2017-02-30,952,2016-11-01,2016-12-30,,,
86,305,2017-01-01,2017-02-30,326,2016-11-01,2016-12-30,632,2016-05-01,2016-06-30
87,852,2017-01-01,2017-02-30,990,2016-07-01,2016-08-30,,,
88,950,2017-01-01,2017-02-30,,,,,,
89,,,,,,,,,
90,798,2017-01-01,2017-02-30,,,,,,
91,850,2017-01-01,2017-02-30,,,,,,
63,800,2017-01-01,2017-02-30,,,,,,
28,1008,2016-11-01,2016-12-30,,,,,,
29,2500,2016-11-01,2016-12-30,,,,,,
50,101,2016-11-01,2016-12-30,,,,,,
57,1427,2017-01-01,2017-02-30,1508,2016-11-01,2016-12-30,1171,2016-07-01,2016-08-30
92,530,2017-01-01,2017-02-30,,,,,,
93,1338,2017-01-01,2017-02-30,,,,,,
94,450,2017-01-01,2017-02-30,,,,,,
95,850,2017-01-01,2017-02-30,,,,,,
96,798,2017-01-01,2017-02-30,,,,,,
97,950,2017-01-01,2017-02-30,,,,,,
98,852,2017-01-01,2017-02-30,990,2016-07-01,2016-08-30,,,
99,305,2017-01-01,2017-02-30,326,2016-11-01,2016-12-30,632,2016-05-01,2016-06-30
