ID,NUM_RES,SUBTEN,SEX_1,AGE_1,EDU_1,WORK_1,SEX?_2,AGE?2,EDU_2,WORK_2,KIDS_?NUM,KIDS_AGE,INCOME,NOTES
1,4,,F,56,0,0,M,56,0,unemployed,2,"19,22",5000-10000,
2,1,2,F,59,1,0,,,,,,,10000-15000,
3,,,F,77,0,pension,,,,,,,10000-15000,
4,3,,M,29,0,0,F,39,0,,1,0.4,15000-20000,
5,1,,F,72,0,0,,,,,,,0-5000,
6,2,,F,19,0,0,,,,,,,0-5000,
7,5,,F,38,0,0,,,,,3,"17,16,0.3",5000-10000,
8,4,,M,37,1,0,,,,,2,"5.5, 8.5",20000 +,
9,6,,F,44,1,0,M,43,1,0,4,"4,9,11,14",20000 +,
10,5,,F,46,1,0,M,47,1,0,3,"12,10.5,5",20000 +,
11,5,,M,51,1,0,F,50,1,0,3,"13,20,23",15000-20000,
12,5,,M,38,0,0,F,38,0,0,3,"13,10,7",15000-20000,
13,2,,M,65,1,pension,F,67,1,pension,,,20000 +,
14,5,,F,48,1,0,M,53,0,0,3,"20,15,9",10000-15000,
15,4,,F,27,1,0,M,39,0,0,2,"5,9",10000-15000,
16,4,,M,50,0,0,F,44,1,0,2,"13,10",20000 +,
17,6,,M,42,0,0,F,38,1,0,4,"15,13,5,1",,
18,3,,M,65,0,0,F,58,0,0,1,20,5000-10000,
19,2,,M,69,0,pension,,62,0,pension,,,20000 +,
20,5,,F,49,0,0,F,48,1,0,3,"21,19,10",20000 +,
21,4,,M,50,1,0,F,43,1,0,2,"11,9",15000-20000,
22,5,NO,F,40,0,0,M,,,,3,"9, 11, 14",5000-10000,
23,2,NO,F,70,1,pension,F,72,1,pension,,,10000-15000,
24,2,NO,M,61,0,pension,F,56,0,unemployed,,,10000-15000,
25,3,NO,M,58,0,0,M,53,0,0,1,21,15000-20000,
26,4,NO,F,54,1,0,,,,,1,20,5000-10000,
27,5,NO,F,43,0,0,M,46,0,0,3,"9,12,16",20000+,
30,,,M,58,0,0,F,53,1,0,2,"22,24",20000+,
31,3,,F,25,1,0,M,31,1,0,1,0.5,5000-10000,
32,3,NO,M,48,0,0,F,47,0,0,1,14,5000-10000,
33,4,NO,F,52,1,0,M,52,1,0,2,"20,13",20000+,
34,6,NO,F,45,0,unemployed,M,45,0,0,4,"5,10,17,20",,
35,4,NO,M,51,1,0,M,,,,1,12,,
36,3,NO,F,45,1,0,M,51,0,0,1,9,10000-15000,
37,2,NO,F,61,0,0,M,65,0,0,,,10000-15000,
38,3,NO,M,55,1,0,F,48,0,0,1,17,15000-20000,
39,3,NO,F,46,0,0,,,,,2,"19, 23",5000-10000,
40,5,NO,F,43,1,0,M,43,1,0,3,"7, 12, 15",15000-20000,
41,4,NO,F,48,1,0,M,55,1,0,2,"22, 24",20000+,
42,3,NO,M,46,1,0,F,44,0,0,4,"3,8,12,16",10000-15000,
43,6,NO,M,57,0,,F,46,0,unemployed,4,"1,12,24,28",10000-15000,
44,4,NO,F,34,0,0,M,35,0,0,2,"6,10",10000-15000,
45,4,NO,M,47,0,0,F,47,0,unemployed,1,22,10000-15000,
46,1,NO,F,58,1,0,,,,,,,,
47,3,NO,M,55,0,0,,,,,1,"15, 28",,
48,4,,M,61,0,0,F,55,0,0,2,"20, 25",15000-20000,
49,2,NO,F,60,0,0,M,65,0,pension,,,,
51,5,NO,M,40,1,0,F,37,1,0,3,"9,7,3",15000-20000,
52,3,,F,31,1,0,M,31,1,0,1,0.3,15000-20000,
53,2,NO,F,74,0,pension,M,43,0,0,,,5000-10000,
54,4,NO,F,46,0,0,M,44,1,0,2,"18, 21",15000-20000,
55,4,NO,F,46,1,0,,,,,3,"6,8,10",,
56,3,NO,F,38,0,0,,,,,2,"18, 20",5000-10000,
58,2,NO,F,64,0,pension,M,30,0,0,,,5000-10000,
59,5,,M,54,0,0,F,62,0,pension,2,"14,20",5000-10000,??? ????? ???
60,5,NO,M,34,0,0,F,35,0,unemployed,3,"0.5, 2, 3",,
61,2,,F,58,0,0,,,,,1,23,,
62,4,NO,F,51,1,0,M,52,0,0,2,"20, 24",20000+,
64,2,NO,F,84,1,pension,,,,,,,5000-10000,
65,1,,F,,1,pension,,,,,,,5000-10000,
66,4,NO,M,41,0,0,F,40,0,0,2,"11, 13",10000-15000,
67,1,NO,M,66,0,0,,,,,,,10000-15000,
68,2,NO,F,50,1,0,,,,,1,17,10000-15000,
69,1,NO,M,76,1,pension,,,,,,,0-5000,
70,3,NO,M,57,0,0,F,53,0,0,1,25,20000+,
71,4,NO,F,40,0,0,M,40,0,0,2,"9, 11",10000-15000,
72,4,NO,M,49,1,0,F,54,1,0,2,"10, 15",20000+,
73,4,NO,M,45,0,0,F,42,0,0,2,"6,8",10000-15000,
74,2,NO,F,60,1,0,M,64,1,0,,,20000+,
75,2,NO,M,87,1,pension,F,80,1,pension,,,,
76,2,NO,F,53,0,0,M,27,0,0,,,10000-15000,
77,4,NO,F,43,1,0,F,70,0,pension,2,"4, 4",5000-10000,
78,5,,F,62,0,0,M,62,0,0,3,"10, 20, 22",,
79,2,NO,F,54,0,0,M,44,0,0,,,5000-10000,
80,4,,M,41,0,0,F,37,1,0,2,"5, 8",15000-20000,
81,4,NO,F,44,1,0,M,42,1,0,2,"11, 7",5000-10000,
82,5,NO,M,46,0,0,F,38,0,0,2,"6, 11",5000-10000,??? ????? ???
83,5,NO,M,60,0,0,F,,1,0,3,"25, 26, 27",,
84,,??,M,40,1,0,,,,,,,,
85,7,,F,50,1,0,M,61,,0,3,,20000+,?????? ??????
86,3,NO,F,50,1,0,M,56,1,0,2,"16, 24",15000-20000,
87,4,NO,M,60,1,0,F,56,0,0,2,"6, 30",15000-20000,
88,4,NO,F,38,,0,M,48,,0,2,"8, 9",15000-20000,
89,5,NO,F,34,1,0,M,34,1,0,3,"0.1, 4,5",15000-20000,
90,5,NO,F,38,1,0,M,42,1,0,3,"6, 10, 17",10000-15000,
91,5,NO,M,67,1,0,F,53,1,0,,,,
28,4,NO,F,51,1,0,,,,,3,"20,21,24",,
29,4,NO,F,54,1,0,M,57,1,0,2,"14, 26",,
50,1,,M,67,1,pension,,,,,,,10000-15000,
57,7,NO,F,71,1,pension,M,73,1,0,3,"3,5,7",15000-20000,
63,4,NO,M,40,1,0,F,40,1,0,2,"8, 9",,
92,,,M,40,1,0,,,,,,,,
93,7,,F,50,1,0,M,61,1,0,3,??? 18,20000+,?????? ??????
94,5,,F,34,1,0,M,34,1,0,3,"0.1, 4, 5",15000-20000,
95,2,,M,67,1,0,F,55,1,0,,,,
96,5,,F,38,1,0,M,42,1,0,3,"6, 10, 17",10000-15000,
97,4,,F,38,0,0,M,48,0,0,2,"8, 9",15000-20000,
98,4,,M,60,1,0,F,56,0,0,2,"6, 30",15000-20000,
99,3,,F,50,1,0,M,56,1,0,2,"12, 24",15000-20000,
